date,timestamp,team1,team2,tier,best_of,actual,pred_elo_raw,pred_elo_series,pred_map_composite,pred_map_series,pred_round_series,pred_elo_team1,pred_elo_team2
2026-01-04,1767539700,NRG,Team Voca,C,Bo3,1.0,0.5176255346015797,0.5264273508238942,0.49798033546650744,0.4969705196763655,0.4838070199383218,1526.894031841851,1514.6414791280583
2026-01-04,1767540000,MOUZ NXT,Hypewrld,C,Bo1,1.0,0.5,0.5,0.5,0.5,0.5,1500.0,1500.0
2026-01-04,1767542400,CSDIILIT,EC BANGA,C,Bo1,0.0,0.4991503890380356,0.4991503890380356,0.499842067458113,0.499842067458113,0.48212928030344127,1487.3911384019023,1487.981509134179
2026-01-04,1767543300,SemperFi Esports,MOUZ NXT,C,Bo1,0.0,0.5008496109619645,0.5008496109619645,0.500157932541887,0.500157932541887,0.5168733065157839,1512.6088615980977,1512.018490865821
2026-01-04,1767543300,ALGO Esports,Hypewrld,C,Bo1,1.0,0.5345369121784356,0.5345369121784356,0.5051825874602165,0.5051825874602165,0.5352591500965999,1512.018490865821,1487.981509134179
2026-01-04,1767546000,CSDIILIT,Hypewrld,C,Bo1,1.0,0.49878830543179786,0.49878830543179786,0.5028302067028545,0.5028302067028545,0.5421936953543366,1474.5816424807215,1475.4236157525308
2026-01-04,1767546900,MOUZ NXT,ALGO Esports,C,Bo1,0.0,0.5001020615746659,0.5001020615746659,0.49976390477589666,0.49976390477589666,0.4663715654121655,1524.6469825499737,1524.576062903082
2026-01-04,1767546900,SemperFi Esports,EC BANGA,C,Bo1,0.0,0.4988219980296992,0.4988219980296992,0.5025872387695565,0.5025872387695565,0.5116510322929618,1499.976073743376,1500.7946348665187
2026-01-04,1767549600,Fatal Model (page does not exist),INTERDIT (page does not exist),Q,Bo3,1.0,0.49980255790727846,0.4997038368763116,0.49994800418964097,0.4999220062847426,0.4825609151963595,1488.633217789372,1488.7704146146864
2026-01-04,1767549600,HereWeGoAgain (page does not exist),BESTIA Academy (page does not exist),Q,Bo3,1.0,0.49986582278114844,0.49979873417655396,0.4999997985670611,0.4999996978505917,0.4899726586707037,1489.0122784917644,1489.1055143751935
2026-01-04,1767550800,Hypewrld,EC BANGA,C,Bo1,1.0,0.4274897281740908,0.4274897281740908,0.49127494826487744,0.49127494826487744,0.3914828945723432,1462.0416167192182,1512.7846564070865
2026-01-04,1767550800,MOUZ NXT,CSDIILIT,C,Bo1,1.0,0.5345711924546349,0.5345711924546349,0.5023873179027429,0.5023873179027429,0.5173159685088181,1512.0315932950139,1487.9706768773078
2026-01-04,1767550800,SemperFi Esports,ALGO Esports,C,Bo1,0.0,0.42966832930406035,0.42966832930406035,0.48889303246608284,0.48889303246608284,0.4089154421137002,1487.9858966827803,1537.1835549177347
2026-01-04,1767552300,M80,9INE,C,Bo3,0.0,0.4995701986172448,0.4993552980846609,0.4954108079515675,0.4931164052303952,0.45618749188555885,1539.6949513027937,1539.9936079665065
2026-01-04,1767552300,GamerLegion,NRG,C,Bo3,0.0,0.49763143657447517,0.4964471814374335,0.507426391734094,0.5111387684509104,0.5624941218568253,1538.2934490481327,1539.9393078006226
2026-01-04,1767554400,MOUZ NXT,EC BANGA,C,Bo1,1.0,0.5374865569990858,0.5374865569990858,0.5079468338133445,0.5079468338133445,0.5830829042832334,1523.766725428728,1497.6694267996536
2026-01-04,1767555000,CSDIILIT,ALGO Esports,C,Bo1,1.0,0.39885002334082326,0.39885002334082326,0.4868599869004841,0.4868599869004841,0.41263247516746876,1476.2360267839183,1547.505311895647
2026-01-04,1767555000,SemperFi Esports,Hypewrld,C,Bo1,0.0,0.5007152703544511,0.5007152703544511,0.50044088223659,0.50044088223659,0.5373292059629696,1477.6597650899535,1477.1627440020995
2026-01-04,1767565200,GamerLegion,M80,C,Bo3,1.0,0.4928584100577896,0.48928834356180845,0.5011853473663426,0.5017780177185731,0.4744561863594082,1524.7168428063953,1529.6796652782189
2026-01-05,1767577200,NRG,9INE,C,Bo5,1.0,0.5050504002190793,0.509468856339252,0.5010232662930553,0.5019186189423082,0.5789186858410467,1553.4704574542754,1549.960960583042
2026-01-05,1767600000,AaB esport,Hypewrld (page does not exist),C,Bo3,0.0,0.5540310678599701,0.5807311299138885,0.5059888287955708,0.5089828136018465,0.6252857923225641,1537.691805491103,1500.0
2026-01-05,1767600600,MOUZ NXT,Friendly Campers (page does not exist),C,Bo3,1.0,0.5511027068885953,0.576387152259119,0.5052315761913816,0.5078470779169799,0.5555783184596086,1535.6342230429098,1500.0
2026-01-05,1767611400,ASTRAL Esports (page does not exist),MOUZ NXT,C,Bo3,0.0,0.4326506519123084,0.399586962356851,0.4898057502229366,0.48471074416290894,0.424982398662776,1500.0,1547.0852790930403
2026-01-05,1767611700,ALGO Esports (page does not exist),Hypewrld (page does not exist),C,Bo3,1.0,0.4795532717111662,0.4693470038408859,0.49448435181227895,0.4917268633166527,0.41530043533846883,1500.0,1514.215769791417
2026-01-05,1767612600,Los kogutos,WOPA Esport,Q,Bo3,1.0,0.5,0.5,0.5,0.5,0.5,1500.0,1500.0
2026-01-05,1767623400,ASTRAL Esports (page does not exist),Hypewrld (page does not exist),C,Bo3,0.0,0.4824648814275283,0.473708105551254,0.4947178348999877,0.4920770471081913,0.4431931571928006,1488.8944982211176,1501.0841456747282
2026-01-05,1767623400,MOUZ NXT,ALGO Esports (page does not exist),C,Bo3,1.0,0.5644626306275604,0.5961582059466013,0.5099827571512715,0.5149721460547878,0.5501805071075843,1558.1681217227863,1513.1242130242988
2026-01-05,1767629100,Teamclanb0t (page does not exist),Clanen (page does not exist),C,Bo3,1.0,0.5,0.5,0.5,0.5,0.5,1500.0,1500.0
2026-01-06,1767690000,777 Esports,Japczany,Q,Bo3,0.0,0.5,0.5,0.5,0.5,0.5,1500.0,1500.0
2026-01-06,1767690000,MASONIC,Shadows (Russian team),C,Bo3,1.0,0.5,0.5,0.5,0.5,0.5,1500.0,1500.0
2026-01-06,1767699000,ChickenBurger,Eternal Fire Academy,C,Bo3,1.0,0.5,0.5,0.5,0.5,0.5,1500.0,1500.0
2026-01-06,1767699000,MASONIC,FUT Academy,Q,Bo3,1.0,0.5203166809037086,0.5304582492234609,0.5058005160086728,0.5087003836848487,0.6496162494287064,1514.1252532047233,1500.0
2026-01-06,1767708000,Truck Drivers,Sangal ALTERS,C,Bo3,0.0,0.5,0.5,0.5,0.5,0.5,1500.0,1500.0
2026-01-07,1767776400,BRUTE,HyperSpirit,Q,Bo3,0.0,0.5,0.5,0.5,0.5,0.5,1500.0,1500.0
2026-01-07,1767787200,WASHINGTON (British team),CSDIILIT,Q,Bo3,0.0,0.5141193442061611,0.5211733867606403,0.49976147762814577,0.49964221646935914,0.4960373275807399,1500.0,1490.1862656345959
